PCA components,Contribution,% Contribution
PCA 1,0.104786075,10.47860752
PCA 2,0.183244323,18.32443226
PCA 3,0.259038219,25.90382192
PCA 4,0.327406447,32.74064469
PCA 5,0.394880075,39.48800748
PCA 6,0.45416872,45.41687199
PCA 7,0.499649165,49.96491652
PCA 8,0.542007524,54.20075245
PCA 9,0.581143787,58.1143787
PCA 10,0.619058477,61.90584768
PCA 11,0.656141353,65.61413529
PCA 12,0.691980386,69.19803857
PCA 13,0.727138771,72.71387714
PCA 14,0.75860434,75.86043404
PCA 15,0.789135951,78.91359506
PCA 16,0.819093207,81.90932073
PCA 17,0.846920299,84.69202988
PCA 18,0.871306855,87.13068548
PCA 19,0.894971579,89.49715788
PCA 20,0.91548441,91.54844099
PCA 21,0.931114977,93.11149769
PCA 22,0.945187046,94.51870456
PCA 23,0.95845652,95.845652
PCA 24,0.970559072,97.05590723
PCA 25,0.982387501,98.23875014
PCA 26,0.99129771,99.12977098
PCA 27,1,100
